transaction_id,customer_id,product_id,transaction_date,transaction_month,transaction_type,amount_myr,channel,status
T000050,C01034,P003,2024-04-19,2024-04,Bill Payment,290.24,Online Banking,Failed
T000051,C01373,P008,2024-11-11,2024-11,Bill Payment,606.44,Online Banking,Successful
T000052,C00470,P002,2023-09-22,2023-09,Refund,94.27,Branch,Successful
T000053,C00231,P006,2024-03-13,2024-03,Purchase,118.64,Call Centre,Successful
T000054,C00363,P008,2023-10-18,2023-10,Bill Payment,175.2,Call Centre,Successful
T000055,C00460,P006,2024-01-22,2024-01,Transfer,55.68,Mobile App,Successful
T000056,C01635,P007,2023-07-06,2023-07,Purchase,99.37,Branch,Successful
T000057,C00864,P005,2024-09-16,2024-09,Transfer,144.92,Mobile App,Successful
T000058,C01917,P010,2024-03-15,2024-03,Purchase,640.23,Mobile App,Successful
T000059,C00133,P008,2023-01-12,2023-01,Purchase,326.63,Online Banking,Successful
T000060,C00328,P006,2024-08-16,2024-08,Withdrawal,2000.0,Online Banking,Successful
T000061,C00257,P001,2024-05-29,2024-05,Top-Up,623.9,ATM,Successful
T000062,C00545,P009,2024-02-14,2024-02,Transfer,210.37,Mobile App,Successful
T000063,C01803,P007,2023-05-21,2023-05,Top-Up,375.97,Online Banking,Successful
T000064,C01542,P009,2024-03-31,2024-03,Bill Payment,218.43,Branch,Successful
T000065,C01707,P002,2023-04-02,2023-04,Purchase,327.63,Online Banking,Successful
T000066,C01202,P004,2024-01-02,2024-01,Bill Payment,128.89,ATM,Successful
T000067,C00335,P004,2024-02-22,2024-02,Purchase,16.73,Online Banking,Successful
T000068,C01832,P001,2023-12-16,2023-12,Purchase,211.09,Online Banking,Successful
T000069,C00658,P009,2024-06-07,2024-06,Purchase,1170.31,Online Banking,Successful
T000070,C00045,P003,2024-01-04,2024-01,Refund,677.79,Online Banking,Successful
T000071,C00297,P005,2023-05-08,2023-05,Bill Payment,707.64,Online Banking,Successful
T000072,C01788,P004,2024-12-14,2024-12,Purchase,953.12,Branch,Successful
T000073,C00824,P002,2024-04-26,2024-04,Withdrawal,500.0,Call Centre,Failed
T000074,C00134,P009,2023-05-10,2023-05,Bill Payment,304.01,Mobile App,Successful
T000075,C01120,P001,2024-07-13,2024-07,Transfer,124.04,Call Centre,Successful
T000076,C00821,P008,2024-07-18,2024-07,Purchase,172.83,Online Banking,Successful
T000077,C00848,P009,2023-04-18,2023-04,Withdrawal,300.0,Mobile App,Successful
T000078,C01284,P007,2023-09-29,2023-09,Transfer,919.91,Mobile App,Successful
T000079,C01649,P004,2024-12-16,2024-12,Top-Up,209.9,Online Banking,Successful
T000080,C00902,P005,2024-06-02,2024-06,Transfer,149.13,Online Banking,Successful
T000081,C00185,P006,2023-12-15,2023-12,Bill Payment,244.83,ATM,Successful
T000082,C00101,P002,2023-05-08,2023-05,Bill Payment,474.06,Mobile App,Successful
T000083,C00120,P008,2024-01-05,2024-01,Purchase,49.99,ATM,Successful
T000084,C00092,P006,2023-04-27,2023-04,Purchase,19.57,Branch,Successful
T000085,C00127,P004,2024-09-02,2024-09,Transfer,133.54,Mobile App,Successful
T000086,C00425,P007,2023-11-18,2023-11,Purchase,63.89,ATM,Successful
T000087,C00205,P009,2024-08-16,2024-08,Purchase,139.92,Online Banking,Successful
T000088,C00995,P001,2023-02-20,2023-02,Purchase,207.98,Mobile App,Successful
T000089,C01653,P003,2023-11-02,2023-11,Transfer,148.63,Mobile App,Successful
T000090,C00601,P007,2024-01-20,2024-01,Bill Payment,1209.2,Online Banking,Successful
T000091,C01765,P009,2024-09-20,2024-09,Transfer,350.52,Mobile App,Successful
T000092,C01617,P007,2023-09-26,2023-09,Purchase,340.54,Call Centre,Failed
T000093,C00645,P007,2024-01-08,2024-01,Transfer,485.14,Online Banking,Successful
T000094,C00060,P010,2024-04-06,2024-04,Withdrawal,300.0,Mobile App,Failed
T000095,C00394,P009,2024-09-15,2024-09,Purchase,767.41,Branch,Successful
T000096,C00757,P005,2024-02-19,2024-02,Refund,225.13,Mobile App,Successful
T000097,C00378,P007,2023-12-11,2023-12,Bill Payment,511.59,Branch,Successful
T000098,C00685,P010,2024-09-14,2024-09,Transfer,75.26,ATM,Successful
T000099,C01909,P007,2023-06-14,2023-06,Refund,44.29,Branch,Successful
T000100,C00371,P008,2024-03-14,2024-03,Top-Up,601.65,Mobile App,Successful
T000101,C00637,P007,2023-05-18,2023-05,Withdrawal,1000.0,Branch,Successful
T000102,C00162,P003,2023-10-15,2023-10,Bill Payment,90.72,Branch,Successful
T000103,C01992,P009,2023-09-15,2023-09,Transfer,94.01,Mobile App,Successful
T000104,C00123,P001,2024-07-03,2024-07,Purchase,843.85,Mobile App,Successful
T000105,C00812,P008,2024-12-29,2024-12,Transfer,66.13,Mobile App,Successful
T000106,C00163,P003,2024-08-14,2024-08,Bill Payment,1490.61,ATM,Successful
T000107,C01609,P001,2023-10-07,2023-10,Transfer,90.86,ATM,Successful
T000108,C00539,P003,2024-10-15,2024-10,Withdrawal,100.0,Branch,Successful
T000109,C00338,P001,2023-07-28,2023-07,Transfer,170.46,Online Banking,Successful
T000110,C00981,P006,2023-08-22,2023-08,Transfer,475.09,Mobile App,Successful
T000111,C01775,P009,2023-02-19,2023-02,Transfer,134.49,Online Banking,Successful
T000112,C00346,P006,2023-09-29,2023-09,Top-Up,204.57,Online Banking,Successful
T000113,C01376,P009,2024-12-12,2024-12,Withdrawal,1000.0,Online Banking,Successful
T000114,C01633,P005,2023-02-18,2023-02,Purchase,81.26,ATM,Successful
T000115,C01337,P006,2023-10-20,2023-10,Bill Payment,552.75,Online Banking,Successful
T000116,C00404,P002,2023-04-25,2023-04,Purchase,139.14,Online Banking,Failed
T000117,C00917,P005,2024-07-04,2024-07,Bill Payment,190.29,Mobile App,Failed
T000118,C01398,P010,2023-03-28,2023-03,Transfer,81.96,Call Centre,Successful
T000119,C00423,P004,2024-11-11,2024-11,Purchase,14.61,Mobile App,Successful
T000120,C01003,P003,2023-02-01,2023-02,Purchase,198.32,Call Centre,Successful
T000121,C01404,P003,2023-03-16,2023-03,Refund,3476.83,Online Banking,Successful
T000122,C01112,P001,2023-03-10,2023-03,Bill Payment,580.02,Online Banking,Successful
T000123,C00086,P005,2023-12-03,2023-12,Bill Payment,239.56,Online Banking,Successful
T000124,C01624,P004,2023-11-29,2023-11,Bill Payment,183.24,Mobile App,Successful
T000125,C01279,P004,2023-12-05,2023-12,Withdrawal,300.0,Branch,Successful
T000126,C01768,P002,2024-06-11,2024-06,Purchase,446.67,Call Centre,Successful
T000127,C01035,P005,2024-06-10,2024-06,Refund,66.76,Call Centre,Successful
T000128,C00353,P005,2023-09-18,2023-09,Purchase,833.6,Mobile App,Successful
T000129,C00537,P007,2023-02-24,2023-02,Withdrawal,200.0,Call Centre,Successful
T000130,C01410,P002,2024-05-01,2024-05,Bill Payment,539.16,Online Banking,Successful
T000131,C01132,P002,2023-01-16,2023-01,Bill Payment,396.36,Mobile App,Successful
T000132,C01487,P006,2023-09-04,2023-09,Bill Payment,250.03,Branch,Successful
T000133,C01967,P009,2024-06-08,2024-06,Bill Payment,512.93,Call Centre,Successful
T000134,C01647,P010,2024-08-04,2024-08,Bill Payment,469.18,ATM,Successful
T000135,C01591,P003,2024-12-08,2024-12,Bill Payment,165.76,Online Banking,Reversed
T000136,C00986,P010,2024-12-20,2024-12,Purchase,130.2,Mobile App,Successful
T000137,C00921,P003,2023-09-17,2023-09,Transfer,273.7,Branch,Successful
T000138,C01493,P010,2024-07-07,2024-07,Bill Payment,1344.69,Online Banking,Successful
T000139,C00549,P003,2023-07-28,2023-07,Withdrawal,2000.0,Online Banking,Successful
T000140,C01068,P004,2023-09-01,2023-09,Bill Payment,48.7,Branch,Failed
T000141,C01324,P009,2024-05-26,2024-05,Purchase,293.31,Call Centre,Successful
T000142,C01806,P010,2023-08-04,2023-08,Top-Up,258.78,Mobile App,Successful
T000143,C00102,P010,2024-07-24,2024-07,Refund,296.09,Online Banking,Successful
T000144,C01672,P002,2023-01-16,2023-01,Purchase,320.01,Online Banking,Successful
T000145,C00130,P009,2024-01-31,2024-01,Transfer,191.42,Online Banking,Successful
T000146,C00062,P009,2024-10-08,2024-10,Bill Payment,1259.98,Call Centre,Successful
T000147,C01386,P008,2024-01-31,2024-01,Purchase,42.06,Mobile App,Successful
T000148,C00388,P006,2024-01-28,2024-01,Withdrawal,300.0,Branch,Successful
T000149,C01839,P009,2023-10-24,2023-10,Refund,218.42,Mobile App,Successful
T000150,C00175,P010,2024-06-06,2024-06,Withdrawal,500.0,Online Banking,Successful
T000151,C01570,P009,2024-10-18,2024-10,Purchase,201.66,Online Banking,Successful
T000152,C01206,P006,2024-11-23,2024-11,Withdrawal,100.0,Branch,Successful
T000153,C00035,P008,2024-02-18,2024-02,Refund,250.38,Branch,Successful
T000154,C00572,P006,2024-08-25,2024-08,Transfer,315.38,Call Centre,Successful
T000155,C01850,P001,2024-03-22,2024-03,Transfer,61.18,Call Centre,Successful
T000156,C00551,P002,2023-03-17,2023-03,Purchase,124.21,Mobile App,Successful
T000157,C00613,P002,2024-12-26,2024-12,Purchase,161.95,Call Centre,Reversed
T000158,C00461,P005,2023-01-02,2023-01,Withdrawal,1000.0,Online Banking,Successful
T000159,C01676,P010,2023-10-03,2023-10,Withdrawal,500.0,Branch,Successful
T000160,C00753,P009,2023-07-19,2023-07,Transfer,451.9,Mobile App,Successful
T000161,C00289,P007,2024-07-01,2024-07,Bill Payment,72.05,Mobile App,Successful
T000162,C00796,P010,2024-04-15,2024-04,Withdrawal,1000.0,Online Banking,Successful
T000163,C01138,P009,2024-10-12,2024-10,Bill Payment,423.28,Mobile App,Reversed
T000164,C01353,P008,2024-09-21,2024-09,Purchase,857.62,Branch,Successful
T000165,C00879,P003,2024-01-07,2024-01,Transfer,1392.14,Branch,Successful
T000166,C00773,P001,2024-12-10,2024-12,Bill Payment,80.11,Branch,Failed
T000167,C00272,P007,2024-12-19,2024-12,Withdrawal,300.0,Mobile App,Failed
T000168,C01070,P010,2024-07-26,2024-07,Withdrawal,200.0,Online Banking,Successful
T000169,C00162,P009,2023-01-06,2023-01,Withdrawal,1000.0,Online Banking,Successful
T000170,C00150,P008,2024-01-05,2024-01,Transfer,408.71,Online Banking,Failed
T000171,C00944,P008,2024-04-12,2024-04,Purchase,724.92,Branch,Successful
T000172,C01000,P005,2024-01-30,2024-01,Bill Payment,225.08,Mobile App,Successful
T000173,C01379,P009,2023-05-29,2023-05,Purchase,172.12,Mobile App,Successful
T000174,C01926,P003,2024-03-22,2024-03,Purchase,289.15,Online Banking,Successful
T000175,C00978,P006,2024-06-08,2024-06,Bill Payment,97.65,Online Banking,Successful
T000176,C01806,P005,2024-01-11,2024-01,Purchase,2436.93,Branch,Successful
T000177,C00710,P005,2024-01-17,2024-01,Transfer,41.74,Call Centre,Successful
T000178,C01597,P009,2023-05-10,2023-05,Purchase,299.83,Mobile App,Successful
T000179,C01782,P006,2024-05-23,2024-05,Withdrawal,2000.0,Mobile App,Failed
T000180,C00102,P002,2024-10-09,2024-10,Transfer,246.53,ATM,Successful
T000181,C00840,P005,2023-02-24,2023-02,Transfer,198.53,Online Banking,Successful
T000182,C01736,P008,2023-07-01,2023-07,Transfer,165.14,Call Centre,Successful
T000183,C01818,P005,2023-01-06,2023-01,Purchase,200.65,Mobile App,Successful
T000184,C01869,P009,2023-07-07,2023-07,Purchase,1107.8,Online Banking,Successful
T000185,C00185,P003,2024-03-05,2024-03,Purchase,21.48,ATM,Successful
T000186,C01908,P006,2023-01-07,2023-01,Transfer,1321.84,Branch,Successful
T000187,C01152,P001,2023-04-04,2023-04,Purchase,51.09,Online Banking,Successful
T000188,C00365,P008,2023-04-22,2023-04,Top-Up,182.49,Mobile App,Successful
T000189,C00876,P002,2023-02-14,2023-02,Bill Payment,152.6,Online Banking,Successful
T000190,C01626,P008,2023-02-24,2023-02,Withdrawal,200.0,Online Banking,Successful
T000191,C00146,P007,2024-08-30,2024-08,Transfer,42.18,Branch,Failed
T000192,C00526,P002,2024-05-31,2024-05,Bill Payment,406.83,Online Banking,Successful
T000193,C01432,P005,2023-08-21,2023-08,Withdrawal,200.0,Mobile App,Successful
T000194,C00847,P010,2024-07-22,2024-07,Bill Payment,54.63,Call Centre,Successful
T000195,C00270,P010,2023-09-21,2023-09,Purchase,301.47,Mobile App,Successful
T000196,C01713,P002,2024-10-01,2024-10,Withdrawal,1000.0,ATM,Failed
T000197,C00415,P005,2024-07-05,2024-07,Purchase,390.91,Call Centre,Successful
T000198,C00145,P001,2023-09-22,2023-09,Transfer,249.9,Online Banking,Successful
T000199,C01360,P010,2024-02-17,2024-02,Purchase,120.83,Online Banking,Successful
T000200,C00608,P004,2024-01-04,2024-01,Transfer,418.49,Mobile App,Successful
T000201,C00496,P006,2023-06-05,2023-06,Transfer,1780.74,Branch,Successful
T000202,C01118,P007,2023-02-09,2023-02,Bill Payment,198.34,Online Banking,Successful
T000203,C00449,P005,2023-11-03,2023-11,Top-Up,540.09,Mobile App,Successful
T000204,C01982,P003,2023-11-22,2023-11,Withdrawal,500.0,ATM,Successful
T000205,C01292,P005,2024-02-20,2024-02,Refund,85.45,Mobile App,Successful
T000206,C00109,P008,2024-03-30,2024-03,Refund,411.43,Mobile App,Successful
T000207,C00920,P010,2023-12-10,2023-12,Transfer,1252.04,Online Banking,Successful
T000208,C00422,P010,2023-07-07,2023-07,Bill Payment,361.83,Branch,Successful
T000209,C01919,P006,2023-11-29,2023-11,Purchase,173.41,Mobile App,Successful
T000210,C01497,P001,2024-11-13,2024-11,Top-Up,244.5,Branch,Successful
T000211,C01948,P002,2023-04-13,2023-04,Transfer,61.84,Mobile App,Successful
T000212,C01231,P001,2023-05-26,2023-05,Transfer,475.79,Online Banking,Failed
T000213,C01397,P007,2023-02-25,2023-02,Bill Payment,645.85,Online Banking,Successful
T000214,C00832,P010,2024-01-15,2024-01,Refund,148.81,Online Banking,Successful
T000215,C00549,P002,2024-11-29,2024-11,Purchase,145.9,Branch,Successful
T000216,C00277,P003,2024-03-24,2024-03,Refund,327.82,Mobile App,Successful
T000217,C00732,P001,2023-01-11,2023-01,Purchase,151.35,Online Banking,Successful
T000218,C01883,P001,2023-03-22,2023-03,Transfer,227.52,Online Banking,Successful
T000219,C01906,P003,2023-12-22,2023-12,Top-Up,2464.38,Mobile App,Successful
T000220,C00532,P008,2024-10-10,2024-10,Refund,186.47,Online Banking,Successful
T000221,C00090,P008,2023-04-13,2023-04,Withdrawal,2000.0,Online Banking,Successful
T000222,C01219,P009,2023-02-20,2023-02,Top-Up,120.03,Mobile App,Successful
T000223,C00750,P001,2023-08-25,2023-08,Bill Payment,554.8,Call Centre,Successful
T000224,C00805,P005,2024-11-24,2024-11,Bill Payment,200.47,ATM,Successful
T000225,C00025,P004,2024-12-07,2024-12,Refund,119.78,Branch,Successful
T000226,C00259,P001,2023-08-08,2023-08,Transfer,1046.74,Mobile App,Successful
T000227,C01558,P005,2023-03-07,2023-03,Purchase,1166.27,Online Banking,Successful
T000228,C00193,P004,2024-10-31,2024-10,Transfer,126.41,Mobile App,Successful
T000229,C01966,P009,2024-01-03,2024-01,Transfer,31.4,Mobile App,Successful
T000230,C01405,P010,2023-12-15,2023-12,Purchase,741.2,Online Banking,Successful
T000231,C00122,P007,2024-05-13,2024-05,Bill Payment,115.23,Mobile App,Successful
T000232,C00815,P010,2024-03-14,2024-03,Top-Up,583.88,Call Centre,Successful
T000233,C00151,P009,2024-02-01,2024-02,Bill Payment,28.02,Mobile App,Successful
T000234,C01425,P004,2024-05-05,2024-05,Transfer,653.18,Mobile App,Successful
T000235,C01823,P004,2024-11-09,2024-11,Purchase,64.57,Call Centre,Successful
T000236,C01432,P006,2023-08-19,2023-08,Purchase,546.67,Online Banking,Successful
T000237,C01554,P003,2023-12-09,2023-12,Transfer,248.56,Online Banking,Successful
T000238,C01697,P001,2023-03-16,2023-03,Transfer,85.68,ATM,Successful
T000239,C00267,P007,2023-07-08,2023-07,Purchase,156.38,Mobile App,Successful
T000240,C01193,P001,2024-10-04,2024-10,Purchase,520.58,ATM,Successful
T000241,C00307,P004,2023-08-15,2023-08,Transfer,274.92,Call Centre,Successful
T000242,C01510,P001,2024-08-08,2024-08,Purchase,465.38,Call Centre,Successful
T000243,C01387,P001,2023-12-31,2023-12,Purchase,2151.85,Mobile App,Failed
T000244,C01139,P007,2024-06-06,2024-06,Purchase,43.79,Branch,Successful
T000245,C00239,P002,2024-01-29,2024-01,Transfer,1449.44,Online Banking,Successful
T000246,C01900,P001,2023-10-16,2023-10,Refund,274.46,Online Banking,Failed
T000247,C01868,P008,2023-12-09,2023-12,Withdrawal,1000.0,Mobile App,Reversed
T000248,C00924,P006,2024-08-02,2024-08,Refund,56.64,Branch,Successful
T000249,C01216,P007,2023-11-16,2023-11,Purchase,198.73,Branch,Failed
T000250,C00493,P007,2024-11-18,2024-11,Withdrawal,200.0,Mobile App,Successful
T000251,C00290,P008,2024-01-14,2024-01,Transfer,212.66,Online Banking,Successful
T000252,C00949,P001,2024-12-12,2024-12,Bill Payment,1289.84,Branch,Successful
T000253,C00187,P006,2023-06-15,2023-06,Purchase,49.59,Mobile App,Successful
T000254,C00388,P007,2024-12-18,2024-12,Top-Up,241.46,Branch,Successful
T000255,C01486,P003,2023-03-11,2023-03,Transfer,61.71,Call Centre,Successful
T000256,C01070,P010,2024-05-15,2024-05,Bill Payment,365.04,Mobile App,Successful
T000257,C00889,P002,2023-04-25,2023-04,Transfer,649.09,Online Banking,Successful
T000258,C01127,P009,2023-03-25,2023-03,Bill Payment,154.03,Call Centre,Successful
T000259,C00950,P008,2023-06-21,2023-06,Bill Payment,13.95,Branch,Successful
T000260,C00092,P001,2023-12-14,2023-12,Refund,304.55,Mobile App,Successful
T000261,C01433,P010,2023-08-10,2023-08,Purchase,395.6,ATM,Successful
T000262,C00317,P009,2024-08-18,2024-08,Transfer,381.73,Online Banking,Successful
T000263,C00680,P005,2023-02-24,2023-02,Bill Payment,952.76,ATM,Successful
T000264,C01480,P008,2023-06-16,2023-06,Purchase,75.33,Online Banking,Successful
T000265,C00604,P009,2023-05-11,2023-05,Bill Payment,517.1,Call Centre,Successful
T000266,C01357,P003,2023-03-02,2023-03,Purchase,908.47,Online Banking,Successful
T000267,C00571,P004,2023-05-15,2023-05,Refund,34.59,Call Centre,Successful
T000268,C00136,P007,2024-01-04,2024-01,Bill Payment,347.8,Mobile App,Successful
T000269,C01379,P003,2024-10-04,2024-10,Bill Payment,140.53,Branch,Successful
T000270,C00104,P005,2024-12-13,2024-12,Purchase,223.7,Call Centre,Successful
T000271,C00899,P008,2024-01-03,2024-01,Refund,358.68,Branch,Successful
T000272,C00500,P006,2023-07-18,2023-07,Purchase,143.17,Mobile App,Successful
T000273,C00192,P007,2023-12-10,2023-12,Refund,116.36,Online Banking,Successful
T000274,C00006,P001,2023-12-19,2023-12,Bill Payment,254.06,Mobile App,Failed
T000275,C00902,P008,2024-04-15,2024-04,Transfer,74.0,Call Centre,Successful
T000276,C01101,P004,2023-05-16,2023-05,Withdrawal,2000.0,Branch,Successful
T000277,C01226,P002,2024-03-01,2024-03,Bill Payment,516.62,Call Centre,Failed
T000278,C00152,P008,2023-11-02,2023-11,Transfer,69.15,Mobile App,Successful
T000279,C00326,P010,2024-06-27,2024-06,Purchase,509.25,ATM,Successful
T000280,C00508,P009,2023-10-10,2023-10,Purchase,407.02,Online Banking,Successful
T000281,C01163,P002,2023-07-27,2023-07,Top-Up,36.66,Online Banking,Successful
T000282,C00115,P006,2024-02-20,2024-02,Bill Payment,116.13,Online Banking,Successful
T000283,C01724,P007,2024-04-16,2024-04,Top-Up,910.07,Call Centre,Successful
T000284,C00479,P007,2023-06-06,2023-06,Purchase,83.16,Mobile App,Successful
T000285,C00741,P001,2023-11-07,2023-11,Bill Payment,146.81,Mobile App,Successful
T000286,C00616,P001,2024-03-27,2024-03,Top-Up,406.78,Online Banking,Successful
T000287,C00628,P010,2023-07-13,2023-07,Bill Payment,579.25,Mobile App,Successful
T000288,C00620,P010,2024-01-21,2024-01,Purchase,185.55,Online Banking,Successful
T000289,C00790,P003,2024-03-20,2024-03,Refund,126.82,Branch,Successful
T000290,C00301,P005,2023-08-10,2023-08,Withdrawal,2000.0,Branch,Successful
T000291,C00704,P009,2024-12-13,2024-12,Transfer,1657.04,Mobile App,Successful
T000292,C01055,P009,2024-10-13,2024-10,Refund,718.2,Branch,Successful
T000293,C01944,P010,2024-12-04,2024-12,Bill Payment,268.77,Mobile App,Failed
T000294,C00303,P004,2023-11-15,2023-11,Refund,100.58,Mobile App,Successful
T000295,C01170,P007,2023-09-27,2023-09,Purchase,98.15,Mobile App,Successful
T000296,C01818,P003,2023-10-16,2023-10,Top-Up,434.75,ATM,Successful
T000297,C00749,P001,2024-01-09,2024-01,Transfer,387.7,Online Banking,Successful
T000298,C00415,P001,2024-12-07,2024-12,Purchase,1143.4,Branch,Successful
T000299,C01738,P009,2024-05-26,2024-05,Transfer,500.44,Online Banking,Successful
T000300,C00758,P008,2024-02-04,2024-02,Refund,46.83,Mobile App,Successful
T000301,C00678,P008,2024-02-16,2024-02,Bill Payment,778.32,Call Centre,Successful
T000302,C00550,P006,2023-07-24,2023-07,Transfer,81.62,Online Banking,Successful
T000303,C00968,P005,2024-02-07,2024-02,Transfer,160.39,Mobile App,Successful
T000304,C00783,P002,2024-03-17,2024-03,Purchase,322.22,Online Banking,Successful
T000305,C00703,P005,2024-01-14,2024-01,Purchase,2197.85,Mobile App,Successful
T000306,C00681,P010,2023-11-10,2023-11,Transfer,7486.9,Call Centre,Successful
T000307,C00818,P010,2023-05-27,2023-05,Transfer,476.94,ATM,Successful
T000308,C00814,P005,2024-04-02,2024-04,Purchase,200.03,Call Centre,Successful
T000309,C00929,P005,2023-05-20,2023-05,Purchase,440.52,Mobile App,Successful
T000310,C00244,P005,2023-07-05,2023-07,Transfer,649.64,ATM,Successful
T000311,C01368,P005,2024-10-28,2024-10,Transfer,171.96,Online Banking,Successful
T000312,C00323,P007,2023-04-30,2023-04,Transfer,1762.93,Online Banking,Successful
T000313,C01472,P001,2024-04-08,2024-04,Bill Payment,315.16,Online Banking,Successful
T000314,C00463,P002,2024-11-28,2024-11,Refund,423.06,Branch,Successful
T000315,C01497,P002,2024-05-22,2024-05,Top-Up,509.03,Call Centre,Successful
T000316,C00291,P002,2023-03-23,2023-03,Transfer,389.06,Mobile App,Successful
T000317,C01910,P009,2023-10-15,2023-10,Transfer,615.75,Online Banking,Successful
T000318,C01348,P005,2023-06-30,2023-06,Transfer,124.09,Call Centre,Successful
T000319,C00532,P005,2024-11-27,2024-11,Bill Payment,132.41,Mobile App,Successful
T000320,C01019,P004,2024-10-20,2024-10,Top-Up,72.95,Call Centre,Failed
T000321,C01386,P001,2024-12-09,2024-12,Transfer,396.81,Mobile App,Successful
T000322,C01681,P003,2023-08-16,2023-08,Refund,576.42,Mobile App,Successful
T000323,C00881,P007,2024-11-29,2024-11,Transfer,404.86,Online Banking,Successful
T000324,C00229,P005,2023-03-05,2023-03,Bill Payment,1543.71,Branch,Successful
T000325,C01435,P006,2023-06-06,2023-06,Withdrawal,1000.0,Branch,Successful
T000326,C00753,P006,2024-10-26,2024-10,Transfer,510.61,ATM,Successful
T000327,C01886,P003,2024-05-10,2024-05,Refund,73.64,Online Banking,Successful
T000328,C00634,P003,2023-11-24,2023-11,Transfer,159.84,Call Centre,Successful
T000329,C00872,P001,2024-09-10,2024-09,Transfer,525.89,ATM,Successful
