complaint_id,customer_id,product_id,complaint_category,filed_date,resolved_date,resolution_days,sla_target_days,sla_breached,channel,status,csat_score
CMP00024,C00417,P006,Fraud Report,2024-05-03,2024-05-08,5,1,1,Online Banking,Escalated,5
CMP00025,C00052,P003,Loan Statement Error,2023-05-14,2023-05-31,17,7,1,Call Centre,Pending,4
CMP00026,C01960,P004,Account Access,2023-06-09,2023-06-11,2,3,0,Online Banking,Escalated,4
CMP00027,C01641,P008,Loan Statement Error,2023-05-17,2023-05-22,5,7,0,Branch,Resolved,5
CMP00028,C00715,P010,Transaction Dispute,2023-08-13,2023-08-15,2,5,0,Mobile App,Escalated,2
CMP00029,C00951,P002,Loan Statement Error,2023-07-05,2023-07-08,3,7,0,Mobile App,Escalated,4
CMP00030,C01241,P003,Incorrect Charges,2023-02-08,2023-02-13,5,5,0,Online Banking,Escalated,3
CMP00031,C01149,P009,Poor Service,2024-08-21,2024-08-26,5,10,0,Online Banking,Resolved,4
CMP00032,C00944,P003,Transaction Dispute,2024-11-25,2024-11-27,2,5,0,Mobile App,Resolved,2
CMP00033,C00877,P004,Fraud Report,2023-07-12,2023-07-18,6,1,1,Mobile App,Escalated,4
CMP00034,C00730,P009,Card Blocked / Lost,2024-03-09,2024-03-12,3,2,1,Branch,Resolved,5
CMP00035,C00464,P001,Fraud Report,2024-08-19,2024-08-20,1,1,0,Branch,Resolved,3
CMP00036,C00295,P001,Card Blocked / Lost,2024-06-06,2024-06-07,1,2,0,Mobile App,Escalated,1
CMP00037,C01857,P008,Online Banking Issue,2024-04-30,2024-05-03,3,3,0,Branch,Pending,3
CMP00038,C00955,P006,Online Banking Issue,2024-05-06,2024-05-08,2,3,0,Branch,Resolved,5
CMP00039,C00262,P005,Poor Service,2023-08-03,2023-08-11,8,10,0,Mobile App,Pending,3
CMP00040,C00238,P005,Fraud Report,2023-08-15,2023-08-16,1,1,0,Branch,Resolved,3
CMP00041,C01089,P003,Loan Statement Error,2024-10-11,2024-10-17,6,7,0,Call Centre,Resolved,4
CMP00042,C00707,P004,Account Access,2023-04-10,2023-04-11,1,3,0,Online Banking,Escalated,3
CMP00043,C00502,P009,Loan Statement Error,2024-05-07,2024-05-08,1,7,0,Mobile App,Resolved,2
CMP00044,C01831,P005,Fraud Report,2023-09-30,2023-10-10,10,1,1,Branch,Escalated,5
CMP00045,C01082,P008,Fraud Report,2023-09-06,2023-09-07,1,1,0,Online Banking,Resolved,3
CMP00046,C00022,P008,Incorrect Charges,2023-01-29,2023-01-30,1,5,0,Branch,Pending,4
CMP00047,C01281,P006,Loan Statement Error,2024-05-06,2024-05-22,16,7,1,Call Centre,Pending,4
CMP00048,C00098,P007,Loan Statement Error,2024-08-30,2024-09-12,13,7,1,Branch,Resolved,4
CMP00049,C00684,P005,Poor Service,2024-06-21,2024-06-22,1,10,0,Call Centre,Resolved,4
CMP00050,C00407,P003,Online Banking Issue,2024-04-08,2024-04-15,7,3,1,Branch,Escalated,4
CMP00051,C01534,P007,Card Blocked / Lost,2023-06-11,2023-06-13,2,2,0,Call Centre,Resolved,5
CMP00052,C01042,P009,Online Banking Issue,2023-12-05,2023-12-07,2,3,0,Online Banking,Pending,5
CMP00053,C00969,P007,Incorrect Charges,2023-04-04,2023-04-08,4,5,0,Branch,Resolved,5
CMP00054,C00741,P009,Fraud Report,2024-10-17,2024-10-18,1,1,0,Branch,Resolved,4
CMP00055,C00980,P001,Incorrect Charges,2024-05-03,2024-05-04,1,5,0,Mobile App,Resolved,4
CMP00056,C01618,P009,Card Blocked / Lost,2023-10-22,2023-10-23,1,2,0,Branch,Resolved,5
CMP00057,C01770,P002,Card Blocked / Lost,2024-07-18,2024-07-20,2,2,0,Mobile App,Resolved,1
CMP00058,C01296,P007,Account Access,2023-01-20,2023-01-26,6,3,1,Mobile App,Resolved,4
CMP00059,C00715,P001,Account Access,2024-03-18,2024-03-21,3,3,0,Call Centre,Escalated,5
CMP00060,C01020,P005,Transaction Dispute,2024-04-11,2024-04-15,4,5,0,Mobile App,Resolved,3
CMP00061,C01325,P006,Transaction Dispute,2023-04-21,2023-04-25,4,5,0,Call Centre,Resolved,3
CMP00062,C00310,P008,Loan Statement Error,2024-11-01,2024-11-06,5,7,0,Online Banking,Pending,5
CMP00063,C00205,P009,Loan Statement Error,2023-12-20,2023-12-26,6,7,0,Online Banking,Pending,5
CMP00064,C01411,P008,Online Banking Issue,2024-01-23,2024-01-24,1,3,0,Mobile App,Escalated,3
CMP00065,C00302,P006,Account Access,2023-11-09,2023-11-12,3,3,0,Online Banking,Resolved,3
CMP00066,C00441,P001,Account Access,2023-12-31,2024-01-02,2,3,0,Online Banking,Resolved,5
CMP00067,C01699,P008,Poor Service,2024-10-19,2024-10-23,4,10,0,Call Centre,Resolved,4
CMP00068,C00694,P006,Poor Service,2023-05-27,2023-06-08,12,10,1,Online Banking,Escalated,2
CMP00069,C01580,P005,Account Access,2023-07-28,2023-07-30,2,3,0,Mobile App,Resolved,5
CMP00070,C00328,P003,Fraud Report,2023-07-17,2023-07-21,4,1,1,Online Banking,Resolved,3
CMP00071,C00842,P009,Card Blocked / Lost,2023-09-01,2023-09-03,2,2,0,Call Centre,Resolved,4
CMP00072,C01596,P001,Online Banking Issue,2023-05-31,2023-06-01,1,3,0,ATM,Resolved,4
CMP00073,C00939,P009,Incorrect Charges,2023-02-19,2023-02-20,1,5,0,Branch,Resolved,2
CMP00074,C00447,P008,Transaction Dispute,2024-09-15,2024-09-20,5,5,0,Branch,Resolved,5
CMP00075,C01314,P002,Account Access,2023-06-12,2023-06-18,6,3,1,Call Centre,Escalated,3
CMP00076,C01085,P003,Card Blocked / Lost,2023-10-11,2023-10-13,2,2,0,Online Banking,Resolved,4
CMP00077,C00478,P003,Loan Statement Error,2024-04-08,2024-04-17,9,7,1,Call Centre,Escalated,5
CMP00078,C00268,P005,Incorrect Charges,2024-10-12,2024-10-27,15,5,1,Branch,Escalated,3
CMP00079,C01817,P005,Card Blocked / Lost,2023-09-17,2023-09-26,9,2,1,Call Centre,Resolved,3
CMP00080,C01558,P007,Loan Statement Error,2023-10-12,2023-10-29,17,7,1,Branch,Resolved,5
CMP00081,C01918,P007,Poor Service,2024-08-25,2024-09-01,7,10,0,Mobile App,Resolved,3
CMP00082,C01147,P006,Account Access,2023-07-01,2023-07-04,3,3,0,Online Banking,Resolved,2
CMP00083,C01011,P002,Incorrect Charges,2023-11-16,2023-11-21,5,5,0,Mobile App,Resolved,4
CMP00084,C00786,P003,Card Blocked / Lost,2024-01-14,2024-01-16,2,2,0,Call Centre,Resolved,4
CMP00085,C01741,P003,Poor Service,2024-04-03,2024-04-11,8,10,0,Branch,Resolved,4
CMP00086,C01834,P009,Loan Statement Error,2024-09-22,2024-09-26,4,7,0,Online Banking,Escalated,3
CMP00087,C01328,P001,Transaction Dispute,2024-01-20,2024-01-22,2,5,0,Mobile App,Resolved,2
CMP00088,C00599,P004,Card Blocked / Lost,2023-07-21,2023-07-23,2,2,0,ATM,Escalated,3
CMP00089,C00378,P002,Loan Statement Error,2024-06-08,2024-06-16,8,7,1,Branch,Pending,4
CMP00090,C01295,P006,Transaction Dispute,2023-10-18,2023-10-23,5,5,0,Call Centre,Escalated,5
CMP00091,C01091,P008,Poor Service,2023-07-15,2023-07-29,14,10,1,Online Banking,Escalated,5
CMP00092,C00063,P004,Card Blocked / Lost,2024-10-27,2024-10-28,1,2,0,Branch,Escalated,3
CMP00093,C00305,P010,Incorrect Charges,2023-12-15,2023-12-18,3,5,0,Online Banking,Resolved,2
CMP00094,C00571,P008,Card Blocked / Lost,2023-11-19,2023-11-20,1,2,0,Branch,Resolved,3
CMP00095,C00383,P009,Transaction Dispute,2024-12-18,2024-12-22,4,5,0,Online Banking,Resolved,5
CMP00096,C00147,P001,Fraud Report,2024-06-18,2024-06-19,1,1,0,Call Centre,Pending,4
CMP00097,C00474,P001,Incorrect Charges,2024-08-31,2024-09-01,1,5,0,Mobile App,Pending,4
CMP00098,C01550,P009,Poor Service,2024-03-06,2024-03-16,10,10,0,ATM,Resolved,3
CMP00099,C01226,P009,Poor Service,2024-04-27,2024-05-07,10,10,0,Call Centre,Resolved,4
CMP00100,C00884,P001,Incorrect Charges,2024-09-28,2024-09-29,1,5,0,Mobile App,Pending,4
CMP00101,C01034,P007,Poor Service,2023-12-14,2023-12-19,5,10,0,Online Banking,Escalated,4
CMP00102,C01443,P003,Card Blocked / Lost,2024-06-11,2024-06-22,11,2,1,Online Banking,Escalated,2
CMP00103,C00643,P010,Online Banking Issue,2024-09-07,2024-09-08,1,3,0,Online Banking,Resolved,4
CMP00104,C01007,P008,Transaction Dispute,2024-06-20,2024-07-03,13,5,1,Online Banking,Pending,4
CMP00105,C00800,P009,Online Banking Issue,2024-11-13,2024-11-16,3,3,0,Online Banking,Resolved,1
CMP00106,C01173,P007,Online Banking Issue,2023-08-16,2023-08-17,1,3,0,Branch,Resolved,5
CMP00107,C01329,P006,Card Blocked / Lost,2024-10-03,2024-10-05,2,2,0,Mobile App,Resolved,5
CMP00108,C01406,P010,Online Banking Issue,2024-12-16,2024-12-19,3,3,0,Mobile App,Resolved,4
CMP00109,C01618,P002,Incorrect Charges,2024-05-19,2024-05-22,3,5,0,Call Centre,Resolved,4
CMP00110,C01445,P006,Card Blocked / Lost,2024-12-11,2024-12-13,2,2,0,Mobile App,Resolved,4
CMP00111,C00381,P008,Account Access,2024-10-09,2024-10-13,4,3,1,Mobile App,Resolved,3
CMP00112,C00089,P004,Poor Service,2023-04-22,2023-05-04,12,10,1,Branch,Pending,5
CMP00113,C01953,P001,Poor Service,2023-05-05,2023-05-15,10,10,0,Mobile App,Escalated,4
CMP00114,C01107,P009,Card Blocked / Lost,2024-08-18,2024-08-20,2,2,0,Call Centre,Pending,4
CMP00115,C00741,P006,Card Blocked / Lost,2024-01-19,2024-01-21,2,2,0,Branch,Resolved,4
CMP00116,C01975,P008,Account Access,2023-11-17,2023-11-18,1,3,0,Online Banking,Pending,4
CMP00117,C01378,P010,Loan Statement Error,2024-10-10,2024-10-17,7,7,0,Mobile App,Escalated,5
CMP00118,C01043,P008,Online Banking Issue,2024-01-29,2024-01-30,1,3,0,Call Centre,Escalated,5
CMP00119,C01362,P001,Loan Statement Error,2024-01-27,2024-01-29,2,7,0,Call Centre,Pending,2
CMP00120,C00992,P007,Loan Statement Error,2023-01-07,2023-01-14,7,7,0,Online Banking,Pending,5
CMP00121,C00643,P002,Card Blocked / Lost,2024-08-05,2024-08-06,1,2,0,Online Banking,Resolved,4
CMP00122,C01371,P003,Loan Statement Error,2024-02-07,2024-02-11,4,7,0,Online Banking,Resolved,5
CMP00123,C01861,P008,Fraud Report,2023-11-30,2023-12-10,10,1,1,Mobile App,Resolved,5
CMP00124,C00416,P006,Online Banking Issue,2023-06-02,2023-06-04,2,3,0,Online Banking,Pending,2
CMP00125,C00187,P006,Online Banking Issue,2024-05-08,2024-05-11,3,3,0,Branch,Resolved,3
CMP00126,C00196,P005,Poor Service,2023-08-19,2023-08-23,4,10,0,Mobile App,Pending,2
CMP00127,C01260,P004,Loan Statement Error,2023-07-06,2023-07-11,5,7,0,Branch,Escalated,2
CMP00128,C00741,P010,Card Blocked / Lost,2023-08-13,2023-08-17,4,2,1,Branch,Resolved,4
CMP00129,C00150,P002,Loan Statement Error,2023-10-22,2023-10-27,5,7,0,Online Banking,Resolved,4
CMP00130,C00994,P006,Incorrect Charges,2023-02-04,2023-02-12,8,5,1,Mobile App,Pending,1
CMP00131,C01246,P006,Loan Statement Error,2024-01-05,2024-01-21,16,7,1,Branch,Pending,5
CMP00132,C00479,P004,Card Blocked / Lost,2023-05-16,2023-05-18,2,2,0,ATM,Pending,2
CMP00133,C01492,P008,Card Blocked / Lost,2024-07-27,2024-07-29,2,2,0,Call Centre,Resolved,3
CMP00134,C01658,P003,Card Blocked / Lost,2024-08-15,2024-08-25,10,2,1,Mobile App,Pending,1
CMP00135,C01282,P005,Card Blocked / Lost,2023-02-08,2023-02-10,2,2,0,Branch,Escalated,5
CMP00136,C01719,P004,Transaction Dispute,2024-11-27,2024-11-29,2,5,0,Branch,Resolved,3
CMP00137,C00367,P002,Poor Service,2023-09-09,2023-09-24,15,10,1,Mobile App,Pending,4
CMP00138,C01035,P005,Online Banking Issue,2023-10-03,2023-10-06,3,3,0,Mobile App,Resolved,3
CMP00139,C00568,P002,Transaction Dispute,2024-05-16,2024-05-24,8,5,1,Branch,Resolved,1
CMP00140,C00014,P008,Fraud Report,2024-10-18,2024-10-19,1,1,0,Mobile App,Resolved,4
CMP00141,C01606,P007,Incorrect Charges,2023-01-15,2023-01-20,5,5,0,Call Centre,Pending,4
CMP00142,C00278,P001,Fraud Report,2024-04-17,2024-04-18,1,1,0,Branch,Resolved,5
CMP00143,C01821,P001,Online Banking Issue,2024-01-28,2024-01-31,3,3,0,Branch,Resolved,4
CMP00144,C01715,P009,Poor Service,2023-10-13,2023-10-15,2,10,0,Mobile App,Resolved,4
CMP00145,C00434,P009,Account Access,2024-03-16,2024-03-28,12,3,1,Online Banking,Resolved,5
CMP00146,C01114,P009,Online Banking Issue,2024-04-28,2024-04-30,2,3,0,Call Centre,Pending,5
CMP00147,C01662,P005,Card Blocked / Lost,2023-03-24,2023-03-31,7,2,1,Mobile App,Resolved,3
CMP00148,C01492,P008,Transaction Dispute,2023-10-16,2023-10-19,3,5,0,Branch,Resolved,3
CMP00149,C01483,P009,Poor Service,2023-10-16,2023-10-21,5,10,0,Mobile App,Pending,5
CMP00150,C00437,P007,Poor Service,2023-10-13,2023-10-22,9,10,0,Branch,Pending,5
CMP00151,C00131,P003,Loan Statement Error,2023-03-26,2023-03-29,3,7,0,Online Banking,Pending,4
CMP00152,C00423,P009,Account Access,2023-09-12,2023-09-15,3,3,0,Mobile App,Escalated,1
CMP00153,C01899,P001,Incorrect Charges,2024-01-17,2024-01-20,3,5,0,Online Banking,Resolved,5
CMP00154,C00088,P005,Loan Statement Error,2023-07-09,2023-07-23,14,7,1,Mobile App,Escalated,4
CMP00155,C00551,P006,Poor Service,2023-05-28,2023-06-05,8,10,0,Call Centre,Resolved,5
CMP00156,C01034,P003,Online Banking Issue,2024-02-02,2024-02-07,5,3,1,Mobile App,Resolved,5
CMP00157,C01494,P002,Transaction Dispute,2024-01-08,2024-01-12,4,5,0,Branch,Resolved,5
CMP00158,C00765,P003,Online Banking Issue,2024-09-07,2024-09-09,2,3,0,Mobile App,Resolved,4
CMP00159,C00669,P009,Poor Service,2024-09-28,2024-10-01,3,10,0,ATM,Pending,3
CMP00160,C00753,P006,Loan Statement Error,2023-02-01,2023-02-18,17,7,1,Branch,Resolved,2
CMP00161,C01626,P009,Card Blocked / Lost,2023-08-12,2023-08-13,1,2,0,Branch,Escalated,2
CMP00162,C01750,P005,Online Banking Issue,2024-06-30,2024-07-02,2,3,0,Online Banking,Resolved,3
CMP00163,C00663,P007,Incorrect Charges,2024-03-15,2024-03-19,4,5,0,Mobile App,Resolved,4
CMP00164,C00647,P001,Account Access,2024-08-04,2024-08-07,3,3,0,Branch,Escalated,3
CMP00165,C00417,P008,Online Banking Issue,2024-06-25,2024-06-27,2,3,0,Call Centre,Resolved,4
CMP00166,C00417,P006,Fraud Report,2023-11-26,2023-11-27,1,1,0,Branch,Escalated,3
CMP00167,C01108,P004,Fraud Report,2024-10-29,2024-10-31,2,1,1,Online Banking,Pending,4
CMP00168,C01244,P008,Online Banking Issue,2023-10-25,2023-10-26,1,3,0,Call Centre,Pending,4
CMP00169,C00495,P008,Account Access,2024-07-12,2024-07-13,1,3,0,Call Centre,Resolved,4
CMP00170,C00966,P009,Loan Statement Error,2024-02-10,2024-02-17,7,7,0,Branch,Resolved,4
CMP00171,C01467,P004,Online Banking Issue,2024-04-05,2024-04-07,2,3,0,Call Centre,Resolved,1
CMP00172,C00031,P010,Poor Service,2023-04-15,2023-04-18,3,10,0,Call Centre,Escalated,4
CMP00173,C00949,P009,Loan Statement Error,2023-06-05,2023-06-09,4,7,0,Mobile App,Resolved,4
CMP00174,C00449,P009,Fraud Report,2023-03-14,2023-03-15,1,1,0,Mobile App,Escalated,2
CMP00175,C01615,P002,Transaction Dispute,2024-06-16,2024-06-28,12,5,1,Mobile App,Escalated,1
CMP00176,C00806,P005,Transaction Dispute,2023-12-21,2024-01-02,12,5,1,Branch,Pending,3
CMP00177,C01312,P003,Incorrect Charges,2023-03-18,2023-03-21,3,5,0,Call Centre,Escalated,4
CMP00178,C00104,P002,Fraud Report,2023-06-13,2023-06-21,8,1,1,Mobile App,Resolved,2
CMP00179,C01342,P004,Card Blocked / Lost,2023-08-13,2023-08-14,1,2,0,Mobile App,Pending,5
CMP00180,C00821,P005,Transaction Dispute,2024-12-02,2024-12-17,15,5,1,Branch,Resolved,4
CMP00181,C00974,P006,Online Banking Issue,2024-09-06,2024-09-08,2,3,0,Online Banking,Pending,5
CMP00182,C00576,P007,Loan Statement Error,2023-02-14,2023-02-16,2,7,0,Online Banking,Resolved,3
CMP00183,C00613,P007,Poor Service,2023-11-23,2023-11-25,2,10,0,Mobile App,Escalated,4
CMP00184,C00706,P004,Poor Service,2023-12-04,2023-12-13,9,10,0,Online Banking,Resolved,3
CMP00185,C01265,P002,Card Blocked / Lost,2023-07-05,2023-07-07,2,2,0,Branch,Escalated,5
CMP00186,C01781,P005,Fraud Report,2023-01-21,2023-01-22,1,1,0,Mobile App,Resolved,5
CMP00187,C01727,P001,Account Access,2024-08-06,2024-08-08,2,3,0,ATM,Resolved,5
CMP00188,C01852,P006,Account Access,2024-07-30,2024-08-02,3,3,0,Mobile App,Escalated,3
CMP00189,C01023,P004,Card Blocked / Lost,2023-09-28,2023-09-29,1,2,0,Mobile App,Escalated,3
CMP00190,C01305,P005,Loan Statement Error,2023-07-18,2023-07-20,2,7,0,Online Banking,Resolved,2
CMP00191,C01097,P002,Card Blocked / Lost,2024-03-13,2024-03-15,2,2,0,Call Centre,Pending,5
CMP00192,C01401,P002,Incorrect Charges,2024-02-02,2024-02-17,15,5,1,Mobile App,Pending,3
CMP00193,C00237,P003,Account Access,2023-06-01,2023-06-04,3,3,0,Call Centre,Resolved,2
CMP00194,C01700,P009,Card Blocked / Lost,2024-05-20,2024-05-27,7,2,1,Mobile App,Escalated,2
CMP00195,C00902,P008,Fraud Report,2024-11-28,2024-11-29,1,1,0,Online Banking,Escalated,4
CMP00196,C00231,P003,Poor Service,2023-11-12,2023-11-26,14,10,1,Call Centre,Escalated,4
CMP00197,C01372,P010,Online Banking Issue,2024-02-26,2024-02-28,2,3,0,Mobile App,Pending,3
CMP00198,C00534,P001,Poor Service,2023-08-05,2023-08-07,2,10,0,Branch,Resolved,5
CMP00199,C00077,P005,Fraud Report,2024-06-01,2024-06-02,1,1,0,Call Centre,Pending,4
CMP00200,C00186,P004,Account Access,2024-01-11,2024-01-12,1,3,0,Online Banking,Escalated,2
CMP00201,C00351,P001,Incorrect Charges,2023-08-27,2023-08-30,3,5,0,Call Centre,Pending,4
CMP00202,C00535,P010,Incorrect Charges,2023-10-18,2023-10-30,12,5,1,Call Centre,Pending,4
CMP00203,C00242,P002,Loan Statement Error,2024-04-26,2024-05-02,6,7,0,Mobile App,Resolved,5
CMP00204,C00230,P002,Account Access,2023-03-29,2023-04-01,3,3,0,Mobile App,Escalated,4
CMP00205,C01113,P007,Fraud Report,2024-03-16,2024-03-17,1,1,0,Branch,Resolved,3
CMP00206,C00196,P007,Online Banking Issue,2024-06-05,2024-06-06,1,3,0,Mobile App,Resolved,3
CMP00207,C00320,P002,Transaction Dispute,2024-12-15,2024-12-30,15,5,1,Branch,Resolved,5
CMP00208,C00576,P005,Online Banking Issue,2024-11-04,2024-11-07,3,3,0,Branch,Resolved,4
CMP00209,C00293,P006,Poor Service,2024-04-27,2024-05-12,15,10,1,Online Banking,Pending,2
CMP00210,C01083,P007,Poor Service,2024-04-19,2024-04-28,9,10,0,Mobile App,Resolved,5
CMP00211,C01522,P010,Card Blocked / Lost,2023-01-23,2023-01-25,2,2,0,Mobile App,Resolved,4
CMP00212,C01413,P009,Card Blocked / Lost,2023-06-10,2023-06-12,2,2,0,Mobile App,Escalated,3
CMP00213,C00766,P007,Poor Service,2023-06-17,2023-06-27,10,10,0,Call Centre,Resolved,4
CMP00214,C00137,P003,Transaction Dispute,2023-12-18,2023-12-23,5,5,0,Branch,Resolved,3
CMP00215,C01473,P010,Incorrect Charges,2023-07-06,2023-07-11,5,5,0,Mobile App,Resolved,5
CMP00216,C01518,P005,Loan Statement Error,2023-10-27,2023-11-12,16,7,1,Mobile App,Resolved,4
CMP00217,C00179,P008,Transaction Dispute,2023-10-17,2023-10-20,3,5,0,Online Banking,Resolved,5
CMP00218,C01777,P003,Poor Service,2023-09-05,2023-09-15,10,10,0,Online Banking,Resolved,3
CMP00219,C01979,P010,Poor Service,2024-05-26,2024-06-04,9,10,0,Online Banking,Resolved,4
CMP00220,C00693,P004,Online Banking Issue,2023-08-26,2023-08-27,1,3,0,Branch,Resolved,2
CMP00221,C00617,P010,Card Blocked / Lost,2023-01-12,2023-01-13,1,2,0,Branch,Resolved,5
CMP00222,C00349,P009,Loan Statement Error,2024-05-07,2024-05-12,5,7,0,Mobile App,Escalated,5
CMP00223,C00964,P005,Loan Statement Error,2023-12-26,2024-01-01,6,7,0,Branch,Escalated,5
CMP00224,C01569,P002,Transaction Dispute,2023-04-24,2023-04-29,5,5,0,Online Banking,Resolved,4
CMP00225,C00288,P002,Incorrect Charges,2024-08-02,2024-08-15,13,5,1,Online Banking,Escalated,5
CMP00226,C00249,P004,Fraud Report,2023-02-02,2023-02-03,1,1,0,Mobile App,Escalated,5
CMP00227,C00502,P006,Poor Service,2024-05-25,2024-06-09,15,10,1,Mobile App,Resolved,4
CMP00228,C01059,P008,Transaction Dispute,2023-10-31,2023-11-03,3,5,0,Call Centre,Resolved,5
CMP00229,C00070,P009,Poor Service,2024-11-27,2024-11-30,3,10,0,Mobile App,Resolved,4
CMP00230,C00269,P003,Card Blocked / Lost,2024-11-09,2024-11-10,1,2,0,Online Banking,Escalated,4
CMP00231,C00695,P007,Loan Statement Error,2024-07-05,2024-07-12,7,7,0,Branch,Escalated,4
CMP00232,C01477,P010,Incorrect Charges,2023-08-27,2023-09-01,5,5,0,Mobile App,Resolved,5
CMP00233,C00807,P007,Online Banking Issue,2023-11-20,2023-11-22,2,3,0,Online Banking,Resolved,2
CMP00234,C01973,P009,Card Blocked / Lost,2024-06-07,2024-06-15,8,2,1,Mobile App,Pending,5
CMP00235,C00235,P004,Poor Service,2024-02-16,2024-02-21,5,10,0,Online Banking,Pending,5
CMP00236,C01941,P010,Poor Service,2024-12-18,2024-12-21,3,10,0,Online Banking,Resolved,4
CMP00237,C00672,P006,Incorrect Charges,2023-10-06,2023-10-18,12,5,1,Mobile App,Pending,2
CMP00238,C01910,P003,Poor Service,2024-08-12,2024-08-25,13,10,1,Mobile App,Resolved,3
CMP00239,C01927,P004,Transaction Dispute,2024-08-30,2024-09-04,5,5,0,Mobile App,Pending,4
CMP00240,C00042,P010,Account Access,2023-10-01,2023-10-03,2,3,0,Branch,Resolved,1
CMP00241,C00618,P002,Poor Service,2023-09-07,2023-09-08,1,10,0,Call Centre,Resolved,5
CMP00242,C01790,P001,Loan Statement Error,2024-08-15,2024-08-17,2,7,0,Branch,Resolved,3
CMP00243,C01311,P006,Account Access,2024-05-08,2024-05-14,6,3,1,Online Banking,Pending,4
CMP00244,C01059,P007,Online Banking Issue,2024-08-27,2024-08-28,1,3,0,Branch,Escalated,3
CMP00245,C00612,P009,Account Access,2023-08-17,2023-08-20,3,3,0,Call Centre,Resolved,5
CMP00246,C00563,P002,Account Access,2023-05-31,2023-06-02,2,3,0,Online Banking,Pending,3
CMP00247,C00792,P009,Card Blocked / Lost,2023-04-10,2023-04-12,2,2,0,Online Banking,Resolved,3
CMP00248,C01342,P002,Online Banking Issue,2023-11-11,2023-11-13,2,3,0,Mobile App,Resolved,3
CMP00249,C01827,P006,Fraud Report,2023-05-10,2023-05-11,1,1,0,Online Banking,Pending,4
CMP00250,C00166,P005,Loan Statement Error,2023-02-13,2023-02-28,15,7,1,Branch,Pending,4
CMP00251,C01033,P007,Transaction Dispute,2024-05-26,2024-06-05,10,5,1,Branch,Resolved,4
CMP00252,C00882,P002,Fraud Report,2023-02-14,2023-02-15,1,1,0,Branch,Resolved,5
CMP00253,C01713,P007,Incorrect Charges,2023-03-11,2023-03-15,4,5,0,Mobile App,Pending,5
CMP00254,C00388,P010,Loan Statement Error,2024-12-10,2024-12-15,5,7,0,Online Banking,Pending,3
CMP00255,C01953,P001,Poor Service,2024-02-27,2024-03-13,15,10,1,ATM,Resolved,5
CMP00256,C01999,P010,Online Banking Issue,2024-03-14,2024-03-17,3,3,0,Branch,Escalated,5
CMP00257,C00624,P003,Fraud Report,2024-09-25,2024-09-26,1,1,0,Online Banking,Resolved,5
CMP00258,C00957,P008,Fraud Report,2023-04-27,2023-04-28,1,1,0,Mobile App,Resolved,4
CMP00259,C00490,P008,Poor Service,2023-03-21,2023-04-02,12,10,1,Branch,Escalated,5
